year,total_hire,total_term,term_per,netchange,netchange_per
2000,211,26,12.32,185,87.68
2001,1082,197,18.21,885,81.79
2002,1012,161,15.91,851,84.09
2003,1088,189,17.37,899,82.63
2004,1087,192,17.66,895,82.34
2005,1038,167,16.09,871,83.91
2006,1069,170,15.90,899,84.10
2007,1058,139,13.14,919,86.86
2008,1061,137,12.91,924,87.09
2009,1094,144,13.16,950,86.84
2010,1050,119,11.33,931,88.67
2011,1057,107,10.12,950,89.88
2012,1059,102,9.63,957,90.37
2013,1042,89,8.54,953,91.46
2014,1014,82,8.09,932,91.91
2015,1011,70,6.92,941,93.08
2016,1076,62,5.76,1014,94.24
2017,1043,53,5.08,990,94.92
2018,1090,42,3.85,1048,96.15
2019,1038,45,4.34,993,95.66
2020,967,23,2.38,944,97.62
